name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1998
		CapitalStock,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14,000","14,000","14,000","14,000","1,000,000","1,000,000","1,000,000","0",,
			CommonStock,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14,000","14,000","14,000","14,000","1,000,000","1,000,000","1,000,000","0",,
		AdditionalPaidInCapital,"5,893,000,000","5,298,000,000","5,061,000,000","4,982,000,000","4,787,000,000","4,580,000,000","4,365,000,000","4,183,000,000","4,004,000,000","3,876,000,000","3,762,000,000","3,641,000,000","3,519,000,000","3,445,000,000","3,412,000,000","3,304,604,000","3,312,380,000","3,289,879,000","974,605,000","967,368,000","967,368,000","967,368,000","0",,
		RetainedEarnings,"62,564,000,000","53,607,000,000","45,648,000,000","38,747,000,000","33,984,000,000","27,283,000,000","22,364,000,000","19,418,000,000","16,222,000,000","13,169,000,000","10,121,000,000","7,354,000,000","4,745,000,000","2,915,000,000","1,148,000,000","-236,100,000","37,699,000","-1,029,196,000","145,515,000","-121,204,000","-359,264,000","26,529,000","602,724,000",,
		TreasuryStock,"60,429,000,000","51,354,000,000","42,588,000,000","36,658,000,000","32,205,000,000","25,750,000,000","20,764,000,000","17,021,000,000","13,522,000,000","9,995,000,000","6,577,000,000","4,139,000,000","2,394,000,000","1,250,000,000","1,250,000,000","1,250,000,000","600,532,000",,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-1,099,000,000","-1,253,000,000","-809,000,000","-680,000,000","-673,000,000","-718,000,000","-497,000,000","-924,000,000","-676,000,000","-260,000,000","178,000,000","61,000,000","-2,000,000","95,000,000","194,000,000","108,837,000","277,746,000","103,662,000","49,014,000","127,788,000","89,617,000","28,509,000","3,937,000",,
			UnrealizedGainLoss,,,,,,,,,,,,,"0","2,000,000","-3,000,000","-22,996,000",,,,,"9,476,000","14,465,000",,,
			MinimumPensionLiabilities,,,,,,,,,,,,,"-32,000,000","-12,000,000","-15,000,000","-43,207,000",,,,,,,,,
			ForeignCurrencyTranslationAdjustments,,,,,,,,,,,,,"30,000,000","105,000,000","212,000,000","175,040,000","216,651,000","96,851,000","50,818,000","127,481,000","83,210,000","16,542,000",,,
			OtherEquityAdjustments,"-1,099,000,000","-1,253,000,000","-809,000,000","-680,000,000","-673,000,000","-718,000,000","-497,000,000","-924,000,000","-676,000,000","-260,000,000","178,000,000","61,000,000","-2,000,000",,,,"61,095,000","6,811,000","-1,804,000","307,000","-3,069,000","-2,498,000",,,
