name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987
		DefinedPensionBenefit,"284,000,000","285,000,000","317,000,000","208,000,000","456,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"1,148,000,000","752,000,000","1,338,000,000","1,670,000,000","2,039,000,000","2,024,000,000","1,533,000,000","1,048,000,000","1,117,000,000","621,000,000","1,428,000,000","904,000,000","824,000,000","1,005,000,000","907,000,000","1,081,000,000","1,130,000,000","342,000,000","1,610,000,000","1,575,000,000","1,937,000,000","1,791,000,000","2,473,000,000","1,386,000,000","1,724,000,000","1,474,000,000","1,460,000,000","1,685,000,000","1,932,000,000","1,595,000,000","1,966,000,000","889,000,000","743,000,000","722,000,000","371,000,000","435,000,000","372,000,000"
TotalLiabilitiesNetMinorityInterest,"65,674,000,000","65,702,000,000","73,308,000,000","80,599,000,000","78,246,000,000","20,859,000,000","21,704,000,000","17,360,000,000","17,324,000,000","18,766,000,000","23,356,000,000","22,259,000,000","17,103,000,000","15,438,000,000","16,223,000,000","17,278,000,000","15,610,000,000","15,584,000,000","16,930,000,000","20,233,000,000","17,662,000,000","16,266,000,000","18,737,000,000","8,398,000,000","8,469,000,000","8,696,000,000","7,758,000,000","8,115,000,000","8,107,000,000","7,206,000,000","6,161,000,000","4,784,000,000","3,621,000,000","3,797,000,000","3,413,000,000","3,325,000,000","2,759,000,000"
	CurrentLiabilities,"22,262,000,000","21,890,000,000","21,868,000,000","19,080,000,000","18,304,000,000","10,654,000,000","9,563,000,000","8,841,000,000","8,017,000,000","8,461,000,000","12,440,000,000","8,279,000,000","7,780,000,000","6,739,000,000","6,313,000,000","6,710,000,000","8,644,000,000","6,496,000,000","6,890,000,000","9,843,000,000","7,461,000,000","8,487,000,000","11,109,000,000","5,632,000,000","5,537,000,000","5,791,000,000","5,032,000,000","5,050,000,000","4,806,000,000","4,274,000,000","3,065,000,000","3,300,000,000","2,752,000,000","2,821,000,000","2,659,000,000","2,613,000,000","2,129,000,000"
		PayablesAndAccruedExpenses,"6,192,000,000","5,499,000,000","5,267,000,000","4,923,000,000","5,480,000,000","3,028,000,000","7,584,000,000","6,225,000,000","5,924,000,000","5,765,000,000","5,612,000,000","5,735,000,000","6,499,000,000","6,220,000,000","5,845,000,000","6,279,000,000","5,361,000,000","4,902,000,000","5,449,000,000","6,360,000,000","5,903,000,000","5,571,000,000","5,542,000,000","4,769,000,000","1,657,000,000","1,380,000,000","1,017,000,000","1,064,000,000","848,000,000","693,000,000","649,000,000","562,000,000","537,000,000","530,000,000","475,000,000",,
			Payables,"5,843,000,000","5,178,000,000","4,889,000,000","4,489,000,000","4,987,000,000","2,959,000,000","3,133,000,000","2,476,000,000","2,792,000,000","3,394,000,000","3,353,000,000","3,001,000,000","3,367,000,000","2,623,000,000","2,438,000,000","2,499,000,000","1,442,000,000","1,239,000,000","1,579,000,000","2,127,000,000","1,893,000,000","1,551,000,000","1,478,000,000","1,702,000,000","1,657,000,000","1,380,000,000","1,017,000,000","1,064,000,000","848,000,000","693,000,000","649,000,000","562,000,000","537,000,000","530,000,000","475,000,000",,
				AccountsPayable,"3,259,000,000","3,040,000,000","2,949,000,000","2,713,000,000","2,445,000,000","1,892,000,000","2,248,000,000","1,664,000,000","1,565,000,000","2,487,000,000","2,559,000,000","2,202,000,000","2,603,000,000","1,983,000,000","1,711,000,000","1,535,000,000","1,442,000,000","1,239,000,000","1,579,000,000","2,127,000,000","1,893,000,000","1,551,000,000","1,478,000,000","1,702,000,000","1,657,000,000","1,380,000,000","1,017,000,000","1,064,000,000","848,000,000","693,000,000","649,000,000","562,000,000","537,000,000","530,000,000","475,000,000",,
				TotalTaxPayable,"1,371,000,000","942,000,000","754,000,000","647,000,000","1,517,000,000","398,000,000","231,000,000","152,000,000","572,000,000","262,000,000","160,000,000","193,000,000","167,000,000","65,000,000","175,000,000","347,000,000",,,,,,,,,,,,,,,,,,,,,
					IncomeTaxPayable,"1,371,000,000","942,000,000","754,000,000","647,000,000","1,517,000,000","398,000,000","231,000,000","152,000,000","572,000,000","262,000,000","160,000,000","193,000,000","167,000,000","65,000,000","175,000,000","347,000,000",,,,,,,,,,,,,,,,,,,,,
				DividendsPayable,"1,213,000,000","1,196,000,000","1,186,000,000","1,129,000,000","1,025,000,000","669,000,000","654,000,000","660,000,000","655,000,000","645,000,000","634,000,000","606,000,000","597,000,000","575,000,000","552,000,000","617,000,000",,,,,,,,,,,,,,,,,,,,,
