name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997,01/31/1996,01/31/1995,01/31/1994
			WorkInProcess,,,,,,,,,,,,,,,,,,,,"843,000","209,000","358,000","406,000",,,,,,,,
			FinishedGoods,,,,,,,,,,,,,,,,,,,,"98,153,000","63,038,000","49,648,000","40,680,000",,,,,,,,
		PrepaidAssets,,,"206,293,000","173,432,000","122,282,000","114,296,000","103,055,000","129,095,000","102,078,000","102,863,000","75,968,000","61,827,000","69,876,000","66,886,000","67,865,000","46,412,000","46,238,000","27,286,000","38,687,000","24,824,000","13,872,000","8,633,000","5,870,000",,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,"18,755,000","28,773,000","14,714,000","5,243,000","14,351,000","12,277,000","5,919,000","3,684,000","4,583,000","4,694,000","4,701,000","4,832,000","4,358,000","2,781,000",,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,"18,755,000","28,773,000","14,714,000","5,243,000","14,351,000","12,277,000","5,919,000","3,684,000","4,583,000","4,694,000","4,701,000","4,832,000","4,358,000","2,781,000",,,,,,,,
		OtherCurrentAssets,"200,188,000","197,232,000","206,293,000","173,432,000","122,282,000","114,296,000","103,055,000","129,095,000","102,078,000","102,863,000","75,968,000","61,827,000","69,876,000","66,886,000",,,,,,,,,,"10,143,000","10,433,000","6,700,000","17,500,000","16,500,000","14,400,000","14,900,000","12,100,000"
	TotalNonCurrentAssets,"2,828,706,000","2,445,193,000","2,505,600,000","2,323,013,000","2,262,237,000","957,759,000","974,023,000","1,021,240,000","998,940,000","1,079,624,000","1,226,234,000","924,927,000","886,716,000","990,344,000","829,880,000","704,607,000","709,181,000","532,846,000","384,022,000","268,816,000","208,667,000","133,412,000","112,953,000","103,743,000","87,423,000","61,763,000","41,600,000","38,800,000","24,500,000","21,200,000","8,200,000"
		NetPPE,"2,206,937,000","2,147,171,000","2,145,340,000","2,082,184,000","2,060,563,000","796,029,000","813,768,000","867,786,000","863,137,000","889,232,000","806,909,000","733,416,000","684,979,000","586,346,000","539,961,000","505,407,000","488,889,000","445,698,000","299,291,000","192,792,000","146,826,000","108,847,000","105,505,000","97,901,000","72,819,000","43,100,000","26,900,000","25,200,000","16,700,000","13,400,000","7,000,000"
			GrossPPE,"3,685,528,000","3,567,551,000","3,527,921,000","3,425,992,000","3,411,440,000","2,081,059,000","2,023,768,000","1,978,914,000","1,889,861,000","1,822,564,000","1,641,038,000","1,456,262,000","1,301,766,000","1,111,161,000","976,696,000","861,364,000","771,060,000","660,026,000","467,621,000","327,665,000","251,731,000","184,782,000","163,357,000","140,387,000","103,510,000","66,400,000","44,600,000","38,300,000","26,300,000","20,100,000","11,600,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,
				LandAndImprovements,"55,536,000","55,229,000","56,166,000","56,400,000","38,279,000","27,083,000","21,310,000","21,310,000","15,197,000","15,197,000","15,042,000","5,900,000","5,801,000","2,387,000","2,387,000","543,000","543,000","543,000","543,000","543,000","543,000","543,000","543,000",,,,,,,,
				BuildingsAndImprovements,"633,850,000","467,703,000","469,188,000","413,001,000","411,084,000","347,468,000","305,883,000","300,130,000","294,674,000","239,115,000","185,605,000","131,145,000","118,050,000","117,982,000","96,617,000","96,205,000","527,378,000","462,811,000","284,971,000","222,085,000","175,863,000","126,209,000","111,661,000",,,,,,,,
				MachineryFurnitureEquipment,"430,688,000","419,712,000","425,021,000","416,204,000","440,922,000","438,163,000","439,729,000","437,268,000","424,681,000","410,265,000","375,429,000","343,894,000","306,020,000","273,621,000","305,728,000","262,199,000","223,343,000","180,769,000","142,907,000","98,360,000","71,858,000","54,543,000","35,963,000",,,,,,,,
				OtherProperties,"1,594,654,000","1,419,967,000","1,451,540,000","1,483,763,000","1,519,947,000","323,298,000","300,304,000","280,581,000","249,969,000","180,397,000","161,933,000","140,012,000","103,818,000","81,856,000",,,,,,,,,"7,910,000",,,,,,,,
				ConstructionInProgress,"96,157,000","358,787,000","269,596,000","195,661,000","77,497,000","22,163,000","34,913,000","43,346,000","44,763,000","182,595,000","93,240,000","56,360,000","91,433,000","29,295,000","19,869,000","15,458,000","19,796,000","15,903,000","39,200,000","6,677,000","3,467,000","3,487,000","7,280,000",,,,,,,,
