name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
				ChangesInAccountReceivables,"-9,556,000,000","-8,348,000,000","-8,622,000,000","-9,145,000,000","-8,169,000,000","-7,681,000,000","-4,615,000,000","-4,780,000,000","-3,436,000,000","-1,755,000,000","-1,039,000,000","-846,000,000","-861,000,000","-866,000,000","-295,000,000","-481,000,000","-218,000,000","-255,000,000","-103,000,000","-84,000,000","-2,000,000","2,000,000","-31,704,000","20,732,000","-8,585,000",,,,
			ChangeInInventory,"2,142,000,000","1,449,000,000","-2,592,000,000","-9,487,000,000","-2,849,000,000","-3,278,000,000","-1,314,000,000","-3,583,000,000","-1,426,000,000","-2,187,000,000","-1,193,000,000","-1,410,000,000","-999,000,000","-1,777,000,000","-1,019,000,000","-531,000,000","-232,000,000","-303,000,000","-282,000,000","-104,000,000","-169,000,000","-77,000,000","-51,303,000","30,628,000","46,083,000","-172,069,000","-20,513,000","-8,400,000","-554,000"
			ChangeInPrepaidAssets,,,,,,,,,,,,,,,,,,,,,,,,"20,732,000","-8,585,000","-54,927,000","-16,758,000","-3,055,000","-463,000"
			ChangeInPayablesAndAccruedExpense,"6,629,000,000","3,045,000,000","1,387,000,000","5,725,000,000","23,234,000,000","6,810,000,000","3,735,000,000","7,383,000,000","6,754,000,000","5,207,000,000","2,465,000,000","2,624,000,000","3,108,000,000","4,064,000,000","3,113,000,000","2,159,000,000","1,059,000,000","1,357,000,000","643,000,000","341,000,000","272,000,000","142,000,000","163,369,000","5,248,000","150,665,000","450,883,000","109,739,000","38,302,000","3,354,000"
				ChangeInPayable,"8,431,000,000","5,473,000,000","2,945,000,000","3,602,000,000","17,480,000,000","8,193,000,000","3,263,000,000","7,100,000,000","5,030,000,000","4,294,000,000","1,759,000,000","1,888,000,000","2,070,000,000","2,997,000,000","2,373,000,000","1,859,000,000","812,000,000","928,000,000","402,000,000","274,000,000","286,000,000","168,000,000","156,542,000","-44,438,000","22,357,000","330,166,000","78,674,000","30,172,000","2,756,000"
					ChangeInAccountPayable,"8,431,000,000","5,473,000,000","2,945,000,000","3,602,000,000","17,480,000,000","8,193,000,000","3,263,000,000","7,100,000,000","5,030,000,000","4,294,000,000","1,759,000,000","1,888,000,000","2,070,000,000","2,997,000,000","2,373,000,000","1,859,000,000","812,000,000","928,000,000","402,000,000","274,000,000","286,000,000","168,000,000","156,542,000","-44,438,000","22,357,000","330,166,000","78,674,000","30,172,000","2,756,000"
				ChangeInAccruedExpense,"-1,802,000,000","-2,428,000,000","-1,558,000,000","2,123,000,000","5,754,000,000","-1,383,000,000","472,000,000","283,000,000","1,724,000,000","913,000,000","706,000,000","736,000,000","1,038,000,000","1,067,000,000","740,000,000","300,000,000","247,000,000","429,000,000","241,000,000","67,000,000","-14,000,000","-26,000,000","6,827,000","49,686,000","128,308,000","120,717,000","31,065,000","8,130,000","598,000"
					ChangeInInterestPayable,,,,,,,,,,,,,,,,,,,,,"959,000","1,850,000","3,027,000","-345,000","34,341,000","24,878,000","-167,000","0",
			ChangeInOtherCurrentAssets,"-11,692,000,000","-12,265,000,000","-13,275,000,000","-9,018,000,000",,,,,,,,,,,,,,,,,,,,,,"-54,900,000","-16,800,000","-3,000,000","-500,000"
			ChangeInOtherCurrentLiabilities,,,,,,,,,,,,,,,,,,,,"67,000,000","-11,101,000","-36,231,000","-33,235,000","164,424,000","226,126,000","126,900,000","21,448,000","7,900,000","1,603,000"
			ChangeInOtherWorkingCapital,"5,579,000,000","4,578,000,000","2,216,000,000","2,314,000,000","1,265,000,000","1,711,000,000","1,151,000,000","738,000,000","1,955,000,000","1,292,000,000","4,433,000,000","2,691,000,000","1,796,000,000","1,064,000,000","687,000,000","1,054,000,000","449,000,000","244,000,000","206,000,000","156,000,000","110,000,000","102,000,000","95,404,000","114,738,000","97,818,000","6,225,000",,,
