name,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
			GrossPPE,"403,906,000,000","372,003,000,000","347,207,000,000","295,738,000,000","190,041,000,000","125,975,000,000","86,928,000,000","32,467,000,000","21,810,000,000","14,905,000,000","9,161,000,000","6,494,000,000","4,679,000,000","1,350,045,000","1,236,132,000","1,063,898,000","598,609,000","298,744,000","201,766,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,,,,,,"6,419,000,000","9,377,000,000","4,691,000,000","2,876,000,000","3,105,000,000","1,660,000,000","1,895,000,000","1,701,000,000",,,"168,625,000","44,164,000","35,715,000",
				BuildingsAndImprovements,"135,132,000,000","123,276,000,000","106,794,000,000","99,087,000,000","70,441,000,000","61,940,000,000","45,909,000,000","10,529,000,000","6,155,000,000","2,828,000,000","2,434,000,000","892,000,000","863,000,000","320,282,000","322,838,000","491,463,000","0","0","2,850,000"
				MachineryFurnitureEquipment,"137,825,000,000","122,194,000,000","115,093,000,000","101,949,000,000","74,112,000,000","57,076,000,000","35,909,000,000","19,311,000,000","13,772,000,000","10,259,000,000","5,947,000,000","3,882,000,000","3,114,000,000","756,131,000","696,398,000","567,877,000","345,232,000","224,516,000","164,253,000"
				OtherProperties,"76,927,000,000","77,428,000,000","78,053,000,000","72,040,000,000","34,660,000,000",,,,,,,,,,"1,208,153,000","1,059,340,000","389,396,000","260,231,000",
				ConstructionInProgress,"54,022,000,000","49,105,000,000","47,267,000,000","22,662,000,000","10,828,000,000","6,959,000,000","5,110,000,000","2,627,000,000","1,883,000,000","1,818,000,000","780,000,000","1,720,000,000","702,000,000","74,690,000","27,979,000","4,558,000","209,213,000","38,513,000","6,975,000"
				Leases,,,,,,,,,,,,,,"198,942,000","188,917,000",,,"35,715,000","27,688,000"
			AccumulatedDepreciation,"-130,473,000,000","-114,568,000,000","-93,756,000,000","-73,582,000,000","-51,994,000,000","-33,945,000,000","-20,439,000,000","-12,261,000,000","-8,181,000,000","-5,766,000,000","-3,580,000,000","-2,686,000,000","-2,216,000,000","-617,286,000","-454,987,000","-280,776,000","-212,064,000","-139,752,000","-88,462,000"
		GoodwillAndOtherIntangibleAssets,"298,702,000,000","323,909,000,000","341,237,000,000","372,953,000,000","349,749,000,000","346,835,000,000","204,605,000,000","145,858,000,000","89,891,000,000","51,613,000,000","15,359,000,000","13,523,000,000","13,492,000,000","679,155,000","599,322,000","368,137,000","6,615,000","29,088,000","0"
			Goodwill,"259,679,000,000","268,091,000,000","269,581,000,000","292,771,000,000","276,782,000,000","264,935,000,000","162,149,000,000","125,420,000,000","81,645,000,000","41,933,000,000","11,793,000,000","11,294,000,000","11,436,000,000","455,207,000","367,787,000","202,631,000","0",,
			OtherIntangibleAssets,"39,023,000,000","55,818,000,000","71,656,000,000","80,182,000,000","72,967,000,000","81,900,000,000","42,456,000,000","20,438,000,000","8,246,000,000","9,680,000,000","3,566,000,000","2,229,000,000","2,056,000,000","223,948,000","231,535,000","165,506,000","6,615,000","29,088,000",
		InvestmentsAndAdvances,"424,073,000,000","453,117,000,000","443,253,000,000","437,410,000,000","350,961,000,000","241,544,000,000","177,892,000,000","151,820,000,000","120,853,000,000","48,488,000,000","20,689,000,000","1,797,000,000","1,890,000,000","234,563,000","64,063,000","26,188,000","31,719,000","0","0"
			LongTermEquityInvestment,"203,131,000,000","207,380,000,000","219,642,000,000","200,189,000,000","189,632,000,000","84,454,000,000","139,700,000,000","120,368,000,000","91,461,000,000","33,877,000,000","17,666,000,000","1,555,000,000","1,642,000,000","12,970,000","12,723,000","3,802,000","31,719,000","0",
				InvestmentsinAssociatesatCost,,,,,,,,,,,,,,"12,970,000","12,723,000","3,802,000","31,719,000","0",
			InvestmentinFinancialAssets,"220,942,000,000","245,737,000,000","223,611,000,000","237,221,000,000","161,329,000,000","157,090,000,000","38,192,000,000","31,452,000,000","29,392,000,000","14,611,000,000","3,023,000,000","242,000,000","248,000,000","221,593,000","51,340,000","22,386,000",,,
				AvailableForSaleSecurities,"220,942,000,000","245,737,000,000","223,611,000,000","237,221,000,000","161,329,000,000","157,090,000,000","38,192,000,000","31,452,000,000","29,392,000,000","14,611,000,000","3,023,000,000","242,000,000","248,000,000","221,593,000","51,340,000","22,386,000",,,
		FinancialAssets,,,,,,"331,000,000","542,000,000","436,000,000","0","0","138,000,000","0","0",,,,,,
