name,ttm,05/31/2023,05/31/2022,05/31/2021,05/31/2020,05/31/2019,05/31/2018,05/31/2017,05/31/2016,05/31/2015,05/31/2014,05/31/2013,05/31/2012,05/31/2011,05/31/2010,05/31/2009,05/31/2008,05/31/2007,05/31/2006
				Depreciation,,"117,036,000","192,291,000","225,657,000","146,310,000","110,042,000","77,081,000","53,864,000","47,281,000","46,663,000","43,578,000","38,984,000","26,219,000","16,407,000","12,190,000","10,362,000","7,727,000","6,980,000","5,146,000"
				AmortizationCashFlow,,"5,667,000","2,138,000","4,786,000","4,692,000","3,962,000","1,949,000","1,525,000","1,234,000","723,000","230,000","209,000","139,000","612,000","160,000","240,000","76,000","72,000","69,000"
					AmortizationOfIntangibles,,"5,667,000","2,138,000","4,786,000","4,692,000","3,962,000","1,949,000","1,525,000","1,234,000","723,000","230,000","209,000","139,000","612,000","160,000","240,000","76,000","72,000","69,000"
		DeferredTax,,"-31,528,000","89,565,000","-44,644,000","-8,566,000","-17,273,000","-14,821,000","-518,000","-1,936,000","-5,548,000","-2,193,000","-3,630,000","-3,255,000","-1,154,000","-1,871,000","-1,143,000","-195,000","-416,000","-281,000"
			DeferredIncomeTax,,"-31,528,000","89,565,000","-44,644,000","-8,566,000","-17,273,000","-14,821,000","-518,000","-1,936,000","-5,548,000","-2,193,000","-3,630,000","-3,255,000","-1,154,000","-1,871,000","-1,143,000","-195,000","-416,000","-281,000"
		AssetImpairmentCharge,,"8,056,000","565,012,000","105,770,000","31,750,000","11,164,000","980,000","4,020,000","0","0",,"0","0","406,000","76,000","0",,,
		ProvisionandWriteOffofAssets,,"747,000","-81,000","3,106,000","329,000","146,000","576,000","486,000","1,519,000","680,000","254,000","192,000","52,000","55,000","27,000","17,000","123,000",,
		UnrealizedGainLossOnInvestmentSecurities,,"860,000","14,933,000","3,824,000","18,451,000","104,636,000","0","0",,,,,,,,,,,
		StockBasedCompensation,,"89,788,000","132,968,000","68,880,000","62,057,000","71,336,000","57,443,000","20,287,000","16,810,000","15,689,000","20,079,000","27,242,000","24,125,000","15,045,000","16,183,000","16,750,000","8,742,000",,"8,228,000"
		OtherNonCashItems,,"221,000","465,000","548,000",,,,,,,,,,"406,000",,"22,000","49,083,000","4,969,000","8,038,000"
		ChangeInWorkingCapital,,"537,876,000","-1,153,960,000","528,924,000","191,499,000","310,821,000","365,637,000","268,284,000","231,351,000","118,779,000","83,838,000","81,573,000","69,201,000","80,941,000","37,349,000","10,067,000","11,176,000","18,174,000","6,058,000"
			ChangeInReceivables,,"10,373,000","-31,031,000","-5,288,000","12,684,000","-3,531,000","5,017,000","-1,363,000","921,000","-2,093,000","-1,421,000","-1,528,000","-3,613,000","314,000","-410,000","-661,000","-309,000","-184,000","798,000"
				ChangesInAccountReceivables,,"-3,870,000","-8,113,000","-4,627,000","-1,422,000","-509,000","767,000","-75,000","-187,000","-2,096,000","443,000","213,000","-2,164,000","314,000","-410,000","-661,000","-309,000",,"817,000"
			ChangeInInventory,,"-21,899,000","1,820,000","3,752,000","-3,278,000","6,032,000","-6,316,000","-5,376,000","-6,264,000","-1,750,000","-481,000","-1,664,000","-1,753,000","91,000","-1,982,000","-4,309,000","-3,432,000","-1,648,000","-1,311,000"
