Date,Open,High,Low,Close,Adj Close,Volume
2010-07-23,2.740200,2.919800,2.740000,2.910000,2.910000,156850000
2010-07-26,2.912000,2.972600,2.881200,2.971400,2.971400,46880000
2010-07-27,2.993400,3.000000,2.933400,2.965600,2.965600,45155000
2010-07-28,2.953600,2.969200,2.925400,2.958800,2.958800,37335000
2010-07-29,2.977800,2.989600,2.882000,2.920200,2.920200,35225000
2010-07-30,2.880000,2.958400,2.866200,2.958000,2.958000,25840000
2010-08-02,3.001200,3.019600,2.979800,3.010200,3.010200,31495000
2010-08-03,3.005800,3.051200,2.950000,3.024800,3.024800,35895000
2010-08-04,3.018800,3.088600,3.014600,3.050800,3.050800,38190000
2010-08-05,3.024200,3.049600,2.990000,3.018600,3.018600,24735000
2010-08-06,2.965800,3.040000,2.963800,3.032000,3.032000,21635000
2010-08-09,3.042000,3.057600,3.001200,3.026800,3.026800,20895000
2010-08-10,3.000600,3.041600,2.980000,3.000600,3.000600,22215000
2010-08-11,2.940200,2.958400,2.904000,2.926400,2.926400,24755000
2010-08-12,2.886200,2.946000,2.860400,2.924600,2.924600,18095000
2010-08-13,2.923200,2.923200,2.846000,2.852600,2.852600,25385000
2010-08-16,2.845400,2.921200,2.820200,2.899400,2.899400,19745000
2010-08-17,2.932800,2.994200,2.907200,2.957400,2.957400,24175000
2010-08-18,2.954200,3.013600,2.933800,2.988400,2.988400,22340000
2010-08-19,2.980200,3.010200,2.941800,2.958400,2.958400,18375000
2010-08-20,2.942200,2.998200,2.930400,2.996800,2.996800,17110000
2010-08-23,3.018400,3.046000,2.985000,2.991200,2.991200,23480000
2010-08-24,2.944400,2.977400,2.895800,2.913800,2.913800,28690000
2010-08-25,2.888000,2.957800,2.856400,2.952200,2.952200,25520000
2010-08-26,2.968600,3.026800,2.943400,2.969600,2.969600,27580000
2010-08-27,3.007000,3.062600,2.941200,3.060600,3.060600,29150000
2010-08-30,3.073600,3.077400,2.976800,2.976800,2.976800,26615000
2010-08-31,2.967800,3.037000,2.964000,3.016600,3.016600,22260000
2010-09-01,3.057600,3.190800,3.032600,3.188200,3.188200,78650000
2010-09-02,3.229800,3.283800,3.199600,3.283800,3.283800,55875000
2010-09-03,3.317600,3.330400,3.245800,3.270200,3.270200,36300000
2010-09-07,3.264200,3.299800,3.222600,3.295600,3.295600,30435000
2010-09-08,3.313400,3.340800,3.288200,3.321000,3.321000,26930000
2010-09-09,3.301000,3.325800,3.241800,3.256400,3.256400,31265000
2010-09-10,3.268000,3.345600,3.244800,3.320200,3.320200,29835000
2010-09-13,3.350000,3.383600,3.340000,3.367400,3.367400,34470000
2010-09-14,3.353800,3.400000,3.329000,3.370400,3.370400,39260000
2010-09-15,3.354200,3.396000,3.343400,3.393200,3.393200,23865000
2010-09-16,3.370600,3.392200,3.300200,3.340600,3.340600,41415000
2010-09-17,3.350800,3.374400,3.310000,3.366200,3.366200,25710000
2010-09-20,3.373200,3.419000,3.340800,3.402600,3.402600,25370000
2010-09-21,3.410800,3.429200,3.357000,3.366200,3.366200,22885000
2010-09-22,3.351800,3.383400,3.303600,3.314800,3.314800,23080000
2010-09-23,3.293200,3.365000,3.285200,3.333200,3.333200,24215000
2010-09-24,3.370000,3.463800,3.370000,3.463800,3.463800,43565000
2010-09-27,3.471600,3.528200,3.456600,3.516600,3.516600,33130000
2010-09-28,3.528000,3.539800,3.441200,3.533400,3.533400,39375000
2010-09-29,3.518800,3.543600,3.504000,3.520600,3.520600,33860000
2010-09-30,3.542200,3.553800,3.440000,3.440000,3.440000,34790000
2010-10-01,3.476000,3.500000,3.445200,3.490000,3.490000,34495000
2010-10-04,3.475400,3.494400,3.424800,3.459200,3.459200,28265000
2010-10-05,3.487400,3.590000,3.487400,3.579600,3.579600,36725000
2010-10-06,3.544000,3.564800,3.471000,3.496400,3.496400,49235000
2010-10-07,3.520200,3.550000,3.487600,3.540200,3.540200,32090000
2010-10-08,3.540000,3.555800,3.496800,3.531200,3.531200,26195000
2010-10-11,3.531200,3.611000,3.525800,3.572000,3.572000,27230000
2010-10-12,3.567200,3.628000,3.530000,3.618200,3.618200,29300000
2010-10-13,3.638200,3.659200,3.601000,3.619600,3.619600,36875000
2010-10-14,3.613000,3.626600,3.588200,3.625400,3.625400,18735000
2010-10-15,3.649400,3.653400,3.584200,3.637400,3.637400,31280000
2010-10-18,3.659200,3.689400,3.643600,3.673800,3.673800,29265000
2010-10-19,3.631200,3.679600,3.603600,3.637200,3.637200,34515000
2010-10-20,3.655200,3.659800,3.609200,3.615000,3.615000,36935000
2010-10-21,3.634400,3.659800,3.561800,3.585000,3.585000,61505000
2010-10-22,3.779600,4.158800,3.770000,4.115400,4.115400,205060000
2010-10-25,4.140000,4.167400,4.070400,4.113000,4.113000,72135000
2010-10-26,4.100000,4.307600,4.092000,4.257200,4.257200,82620000
2010-10-27,4.214000,4.247000,4.182200,4.246000,4.246000,40740000
2010-10-28,4.275600,4.276000,4.151000,4.208400,4.208400,31650000
2010-10-29,4.196400,4.239600,4.175000,4.204200,4.204200,19035000
2010-11-01,4.237800,4.265000,4.180000,4.221600,4.221600,22240000
2010-11-02,4.250000,4.304200,4.222600,4.304200,4.304200,28835000
2010-11-03,4.313600,4.386400,4.301800,4.386400,4.386400,40795000
2010-11-04,4.424800,4.466400,4.400600,4.457200,4.457200,42175000
2010-11-05,4.460000,4.646600,4.450000,4.611200,4.611200,69100000
2010-11-08,4.579600,4.640000,4.548600,4.598000,4.598000,35390000
2010-11-09,4.628800,4.630000,4.504000,4.546800,4.546800,43730000
2010-11-10,4.546200,4.731000,4.507000,4.731000,4.731000,57735000
2010-11-11,4.699400,4.815600,4.687200,4.755200,4.755200,56620000
2010-11-12,4.730200,4.797600,4.614000,4.680400,4.680400,54120000
2010-11-15,4.722800,4.733000,4.600400,4.607400,4.607400,35250000
2010-11-16,4.591600,4.659000,4.460200,4.501800,4.501800,46750000
2010-11-17,4.500000,4.636000,4.490000,4.619200,4.619200,32525000
2010-11-18,4.613800,4.639800,4.536000,4.552800,4.552800,54890000
2010-11-19,4.598800,4.659200,4.560200,4.645400,4.645400,37400000
2010-11-22,4.640800,4.879600,4.621800,4.858400,4.858400,66595000
2010-11-23,4.814800,4.882000,4.773200,4.878000,4.878000,44600000
2010-11-24,4.960400,5.010200,4.944400,5.003800,5.003800,47860000
2010-11-26,4.980000,5.129800,4.968200,5.113000,5.113000,39225000
2010-11-29,5.094800,5.155800,5.002600,5.140200,5.140200,48535000
2010-11-30,5.122800,5.255400,5.107200,5.169800,5.169800,119120000
2010-12-01,5.230800,5.240000,5.100000,5.176400,5.176400,63340000
2010-12-02,5.166600,5.175000,4.983600,5.019200,5.019200,82850000
2010-12-03,4.882800,4.947600,4.620000,4.719000,4.719000,202485000
2010-12-06,4.705600,4.844400,4.668400,4.821200,4.821200,72885000
2010-12-07,4.919400,4.919400,4.780800,4.830800,4.830800,50715000
2010-12-08,4.847800,4.855800,4.685000,4.723400,4.723400,41430000
2010-12-09,4.775000,4.777800,4.640400,4.712600,4.712600,40920000
2010-12-10,4.724200,4.780000,4.687800,4.764400,4.764400,24710000
2010-12-13,4.793400,4.794800,4.514600,4.522200,4.522200,60450000
2010-12-14,4.511200,4.612000,4.428200,4.558000,4.558000,65840000
2010-12-15,4.546400,4.697000,4.510000,4.535800,4.535800,54820000
2010-12-16,4.591400,4.712800,4.584600,4.695400,4.695400,51495000
2010-12-17,4.723600,4.799000,4.664600,4.760400,4.760400,54980000
2010-12-20,4.797000,4.808000,4.670000,4.722000,4.722000,34255000
2010-12-21,4.735400,4.754000,4.653600,4.687200,4.687200,32290000
2010-12-22,4.683400,4.692200,4.626000,4.635600,4.635600,27065000
2010-12-23,4.634000,4.679200,4.547200,4.565800,4.565800,26035000
2010-12-27,4.470000,4.509200,4.387400,4.454600,4.454600,57740000
2010-12-28,4.454400,4.499800,4.380600,4.400800,4.400800,46070000
2010-12-29,4.414000,4.470400,4.388200,4.421200,4.421200,27720000
2010-12-30,4.402800,4.439600,4.341000,4.355400,4.355400,26050000
2010-12-31,4.348200,4.358200,4.251600,4.253200,4.253200,32670000
2011-01-03,4.305200,4.496800,4.283200,4.472600,4.472600,60850000
2011-01-04,4.452200,4.569400,4.339200,4.447400,4.447400,66240000
2011-01-05,4.429400,4.483400,4.400600,4.420000,4.420000,26530000
2011-01-06,4.544200,4.596000,4.508600,4.530000,4.530000,52375000
2011-01-07,4.559600,4.559600,4.400000,4.485200,4.485200,29660000
2011-01-10,4.468000,4.498800,4.380800,4.473400,4.473400,24535000
2011-01-11,4.523000,4.547200,4.371200,4.415800,4.415800,51985000
2011-01-12,4.456600,4.466000,4.340000,4.353400,4.353400,38630000
2011-01-13,4.400200,4.594800,4.381000,4.592800,4.592800,71090000
2011-01-14,4.587000,4.698200,4.564400,4.697800,4.697800,60900000
2011-01-18,4.719200,4.742400,4.602200,4.654000,4.654000,29095000
2011-01-19,4.649000,4.666000,4.560000,4.586600,4.586600,31645000
2011-01-20,4.546800,4.552600,4.440200,4.460800,4.460800,32885000
2011-01-21,4.510200,4.519800,4.434000,4.472600,4.472600,27185000
2011-01-24,4.496600,4.497000,4.347200,4.409200,4.409200,25760000
2011-01-25,4.400000,4.440000,4.356200,4.439800,4.439800,19005000
2011-01-26,4.350600,4.385600,4.261200,4.354800,4.354800,41700000
2011-01-27,4.361600,4.549800,4.321200,4.510400,4.510400,39870000
2011-01-28,4.538200,4.559600,4.340000,4.388600,4.388600,31020000
2011-01-31,4.422800,4.489000,4.361800,4.378400,4.378400,24100000
2011-02-01,4.398800,4.476200,4.344000,4.438000,4.438000,30130000
2011-02-02,4.432400,4.585000,4.402000,4.578000,4.578000,34475000
2011-02-03,4.567000,4.800000,4.567000,4.784400,4.784400,55995000
2011-02-04,4.808200,5.033800,4.791000,4.926200,4.926200,85595000
2011-02-07,4.965400,5.035000,4.902200,4.951000,4.951000,45640000
2011-02-08,4.890000,4.973800,4.866000,4.945200,4.945200,44330000
2011-02-09,4.952000,5.138000,4.940400,5.050200,5.050200,57650000
2011-02-10,5.069000,5.168400,5.045600,5.132600,5.132600,104055000
2011-02-11,4.978200,5.497000,4.867200,5.374600,5.374600,367455000
2011-02-14,5.388400,5.500000,5.318000,5.459000,5.459000,71510000
2011-02-15,5.416000,5.465400,5.288000,5.311600,5.311600,61420000
2011-02-16,5.350200,5.410200,5.249000,5.280200,5.280200,66685000
2011-02-17,5.288600,5.360000,5.256800,5.310800,5.310800,39485000
2011-02-18,5.314600,5.336200,5.175600,5.203000,5.203000,61720000
2011-02-22,5.125400,5.191000,5.023400,5.038000,5.038000,44660000
2011-02-23,5.021200,5.037600,4.700000,4.883800,4.883800,82435000
2011-02-24,4.850000,4.939600,4.762800,4.906000,4.906000,50740000
2011-02-25,4.940000,5.100000,4.925800,4.967200,4.967200,41805000
2011-02-28,5.017000,5.054600,4.872800,4.900000,4.900000,35530000
2011-03-01,4.860000,4.888800,4.773400,4.823000,4.823000,33675000
2011-03-02,4.843200,4.867600,4.689600,4.856400,4.856400,50415000
2011-03-03,4.922200,5.019000,4.920000,4.937000,4.937000,38720000
2011-03-04,4.952000,5.118800,4.940000,5.100000,5.100000,59600000
