name,ttm,06/30/2024,06/30/2023,06/30/2022,04/30/2021,04/30/2020,04/30/2019,04/30/2018,04/30/2017,04/30/2016,04/30/2015,04/30/2014,04/30/2013,04/30/2012,04/30/2011,04/30/2010,04/30/2009,04/30/2008,04/30/2007,04/30/2006,04/30/2005,04/30/2004,04/30/2003,04/30/2002,04/30/2001,04/30/2000,04/30/1999,04/30/1998,04/30/1997,04/30/1996,04/30/1995,04/30/1994,04/30/1993,04/30/1992,04/30/1991,04/30/1990,04/30/1989
		ChangeInWorkingCapital,"-72,145,000","-72,145,000","4,445,000","64,978,000","-193,854,000","-255,415,000","-78,131,000","-155,024,000","-157,432,000","-138,523,000","-92,418,000","97,797,000","-113,379,000","-246,970,000","-242,823,000","-379,905,000","35,958,000","71,357,000","-433,400,000","205,340,000","-41,578,000","128,866,000","-7,063,000","-6,441,000","-224,472,000","55,587,000","-92,488,000","-10,620,000","3,336,000","-24,848,000","-130,913,000","29,900,000","104,900,000","136,900,000","8,900,000","-37,700,000","-90,200,000"
			ChangeInReceivables,"-108,394,000","-108,394,000","-57,244,000","-37,889,000","-150,933,000","-66,896,000","-73,648,000","-63,935,000","-80,210,000","-70,721,000","-68,109,000","-30,376,000","-72,662,000","49,755,000","-105,708,000","-87,889,000","-77,447,000","-116,846,000","9,136,000","-39,695,000","-77,100,000","-82,552,000","239,684,000","333,378,000","1,059,804,000","-1,303,125,000","183,735,000","-44,727,000","-94,452,000","-70,621,000","-87,995,000","2,300,000","43,200,000","114,500,000","-6,100,000","-53,200,000","-103,200,000"
			ChangeInPrepaidAssets,"-7,287,000","-7,287,000","-7,011,000","-1,944,000","-49,498,000","39,377,000","-4,503,000","-6,453,000","-8,569,000","4,321,000","-8,542,000","2,293,000","-3,464,000","538,000","-37,892,000","-2,320,000","84,279,000","6,796,000","-1,264,000","174,000","-14,931,000","26,978,000","-24,636,000","-179,694,000","-88,515,000","-52,551,000","-27,952,000","-27,618,000","-15,455,000","-25,373,000","-1,735,000",,,,,,
			ChangeInPayablesAndAccruedExpense,"-4,662,000","-4,662,000","-67,627,000","-19,645,000","150,635,000","-124,019,000","54,827,000","-10,532,000","-7,683,000","34,111,000","-20,451,000","41,792,000","-22,517,000","-196,167,000","-49,756,000","-137,176,000","-15,444,000","286,532,000","-220,650,000","-69,625,000","-77,531,000","98,536,000","18,758,000","-97,191,000","-1,373,701,000","871,744,000","46,029,000","-82,469,000","68,514,000","58,247,000","-24,994,000","31,000,000","56,600,000","13,300,000","-3,000,000","-3,700,000","17,400,000"
				ChangeInPayable,,,,,,,,"32,610,000","-30,472,000","16,723,000","681,000","8,430,000","6,344,000","-137,957,000","-105,765,000","-77,559,000","90,570,000","220,687,000",,,,,,,,,,,,,,,,,,,
					ChangeInTaxPayable,,,,,,,,,,,,"121,038,000","88,459,000","-92,843,000","5,962,000","-77,254,000","126,594,000","204,472,000",,,,,,,,,,,,,,,,,,,
						ChangeInIncomeTaxPayable,,,,,,,,,,,,"121,038,000","88,459,000","-92,843,000","5,962,000","-77,254,000","126,594,000","204,472,000",,,,,,,,,,,,,,,,,,,
					ChangeInAccountPayable,,,,,,,,"32,610,000","-30,472,000","16,723,000","681,000","8,430,000","6,344,000","-45,114,000","-111,727,000",,,,,,,,,,,,,,,,,,,,,,
				ChangeInAccruedExpense,,,,,,,,"-43,142,000","22,789,000","17,388,000","-21,132,000","33,362,000","-28,861,000","-58,210,000","56,009,000","-59,617,000","-106,014,000","65,845,000",,,,,,,,,,,,,,,,,,,
			ChangeInOtherCurrentAssets,,,,,,,,,,,,,,,,"2,497,000","-44,625,000","-3,168,000","52,793,000","107,709,000","51,639,000","-107,186,000","-276,574,000","-41,118,000","81,352,000","481,098,000","-89,020,000","127,041,000","-3,036,000","-8,674,000",,"-17,800,000","-4,600,000","2,800,000","600,000","-5,800,000","-6,400,000"
			ChangeInOtherCurrentLiabilities,,,,,,,,,,,,,,,,,,"274,580,000","-236,633,000","92,917,000","18,610,000","180,542,000","3,668,000","-11,026,000","115,366,000","81,999,000","-205,280,000","17,153,000","47,765,000","21,573,000","-16,189,000","14,400,000","9,700,000","6,300,000","17,400,000","25,000,000","2,000,000"
			ChangeInOtherWorkingCapital,"48,198,000","48,198,000","136,327,000","124,456,000","-144,058,000","-103,877,000","-54,807,000","-74,104,000","-60,970,000","-106,234,000","4,684,000","84,088,000","-14,736,000","-101,096,000","-49,467,000","-152,520,000","89,195,000","-101,957,000","-36,782,000","113,860,000","57,735,000","12,548,000","32,037,000","-10,790,000","-18,778,000","-23,578,000",,,,,,,,,,,
