name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,08/31/1992,08/31/1991,08/31/1990,08/31/1989
			ChangeInOtherCurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"600,000",,,,
	CashFromDiscontinuedOperatingActivities,,,,,,,,,,,,,,,,,,,,,,"750,000","1,333,000",,,,,,,,"-100,000","200,000","300,000","-700,000","2,300,000","2,100,000",
InvestingCashFlow,"-68,892,000","-83,748,000","-241,790,000","-281,218,000","-232,301,000","-503,834,000","-302,795,000","-145,875,000","-91,707,000","-66,116,000","-144,074,000","-36,055,000","-28,198,000","-69,124,000","-22,548,000","-16,445,000","-25,492,000","-11,641,000","-51,925,000","-41,441,000","-48,420,000","-12,392,000","-12,013,000","-17,162,000","-21,537,000","-13,000,000","-18,600,000","-42,000,000","-14,900,000","-2,300,000","-8,600,000","-7,900,000","-1,200,000","-2,200,000","-900,000","-1,100,000","-5,200,000"
	CashFlowFromContinuingInvestingActivities,"-68,892,000","-83,748,000","-241,790,000","-281,218,000","-232,301,000","-503,834,000","-302,795,000","-145,875,000","-91,707,000","-66,116,000","-144,074,000","-36,055,000","-28,198,000","-69,124,000","-22,548,000","-16,445,000","-25,492,000","-11,641,000","-51,925,000","-41,441,000","-48,420,000","-12,392,000","-12,013,000","-17,162,000","-21,537,000","-13,000,000","-18,600,000","-42,000,000","-14,900,000","-2,300,000","-8,600,000","-7,900,000","-1,200,000","-2,200,000","-900,000","-1,100,000","-5,200,000"
		CapitalExpenditureReported,"-49,455,000","-62,209,000","-130,641,000","-98,534,000","-57,346,000","-58,202,000","-119,827,000","-87,221,000","-44,671,000","-28,989,000","-42,458,000","-32,595,000","-32,026,000","-24,317,000","-10,148,000","-3,107,000","-4,199,000",,,,,,,,,,,,,,,,,,,,
		NetPPEPurchaseAndSale,,,,,,,,"467,000","698,000","2,337,000","3,587,000","1,444,000","5,420,000","1,338,000","1,788,000","1,367,000","10,541,000","5,722,000","-18,218,000","-23,429,000","-26,689,000","-4,995,000","-9,943,000","-5,549,000","-21,537,000","-13,000,000","-18,600,000","-42,100,000","-5,000,000","-1,900,000","-1,100,000","-7,900,000","-1,200,000","-2,200,000","-900,000","-1,100,000","-1,500,000"
			PurchaseOfPPE,,,,,,,,,,,,,,,,,"-4,199,000","-8,770,000","-22,250,000","-26,092,000","-27,058,000","-5,073,000","-10,538,000","-8,194,000","-21,890,000","-13,400,000","-18,900,000","-42,200,000","-5,800,000","-1,900,000","-1,200,000","-7,900,000","-1,200,000","-2,300,000","-900,000","-1,100,000","-1,900,000"
			SaleOfPPE,,,,,,,,"467,000","698,000","2,337,000","3,587,000","1,444,000","5,420,000","1,338,000","1,788,000","1,367,000","10,541,000","14,492,000","4,032,000","2,663,000","369,000","78,000","595,000","2,645,000","353,000","400,000","300,000","100,000","800,000",,"100,000",,,"100,000",,,"400,000"
		NetBusinessPurchaseAndSale,"-19,957,000","-25,851,000","-108,470,000","-194,107,000","-182,130,000","-447,764,000","-184,792,000","-60,588,000","-48,725,000","-41,058,000","-106,782,000","-4,750,000","-1,473,000","-50,302,000","-21,900,000","-1,679,000","-28,764,000","-17,299,000","-33,695,000","-17,880,000","-21,388,000","-7,397,000","-2,070,000","-11,613,000",,,,,,,,,,,,,
			PurchaseOfBusiness,"-19,957,000","-25,851,000","-108,470,000","-194,107,000","-182,130,000","-447,764,000","-184,792,000","-60,588,000","-48,725,000","-41,058,000","-106,782,000","-4,750,000","-1,473,000","-50,302,000","-21,900,000","-1,679,000","-28,764,000",,,,,,,,,,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,,,,,,,,,,,,"0","0","5,000,000","8,015,000","-13,026,000","-3,070,000",,,,,,,,,,,,,,,,,,,,
			PurchaseOfInvestment,,,,,,,,,,,,,"0","0","-20,985,000","-15,026,000","-3,070,000",,,,,,,,,,,,,,,,,,,,
			SaleOfInvestment,,,,,,,,,,,,"0","0","5,000,000","29,000,000","2,000,000","0",,,,,,,,,,,,,,,,,,,,
