name,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990
			RawMaterials,"176,000,000","221,000,000","267,000,000","94,000,000","77,000,000","72,000,000","103,000,000","1,000,000","1,000,000","1,000,000","2,000,000","19,000,000","15,000,000","15,000,000","15,000,000","27,000,000","27,000,000","30,000,000","23,000,000","20,000,000","19,000,000","20,000,000","18,251,000","47,952,000","161,481,000","180,957,000","118,516,000",,,,,,,
			WorkInProcess,"4,096,000,000","3,329,000,000","1,475,000,000","1,155,000,000","667,000,000","715,000,000","799,000,000","847,000,000","550,000,000","656,000,000","631,000,000","531,000,000","384,000,000","284,000,000","199,000,000","199,000,000","161,000,000","13,000,000","6,000,000","3,000,000","3,000,000","4,000,000","3,346,000","8,370,000","51,003,000","81,479,000","55,088,000",,,,,,,
			FinishedGoods,"2,150,000,000","2,791,000,000","1,486,000,000","1,349,000,000","656,000,000","906,000,000","1,133,000,000","708,000,000","941,000,000","801,000,000","669,000,000","480,000,000","366,000,000","229,000,000","239,000,000","295,000,000","281,000,000","207,000,000","148,000,000","131,000,000","89,000,000","64,000,000","74,266,000","29,044,000","45,457,000","124,100,000","51,552,000",,,,,,,
			OtherInventories,,,,,,,,,,,,,,,,,,,,,"-1,000,000",,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,"0","635,000,000","577,000,000","573,000,000","309,000,000","537,000,000","321,000,000","149,000,000","289,000,000","435,000,000","235,000,000","343,000,000","409,000,000","612,000,000",,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,"0","635,000,000","577,000,000","573,000,000","309,000,000","537,000,000","321,000,000","149,000,000","289,000,000","435,000,000","235,000,000","343,000,000","409,000,000","612,000,000",,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,"341,000,000","733,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"1,194,000,000","1,625,000,000","854,000,000","704,000,000","634,000,000","699,000,000","618,000,000","558,000,000","687,000,000","401,000,000","572,000,000","473,000,000","346,000,000","275,000,000","199,000,000","464,000,000","621,000,000","143,000,000","179,000,000","101,000,000","176,000,000","133,000,000","147,814,000","136,727,000","195,900,000","306,500,000","70,484,000","252,200,000","77,300,000","97,100,000","95,800,000","15,300,000","600,000","400,000"
	TotalNonCurrentAssets,"28,576,000,000","28,290,000,000","21,165,000,000","17,075,000,000","16,192,000,000","15,334,000,000","21,893,000,000","29,378,000,000","28,697,000,000","26,161,000,000","25,961,000,000","27,367,000,000","22,129,000,000","18,439,000,000","14,875,000,000","12,840,000,000","9,674,000,000","8,159,000,000","4,688,000,000","3,593,000,000","2,873,000,000","2,569,000,000","2,614,975,000","3,333,002,000","1,556,700,000","1,029,500,000","725,085,000","434,100,000","236,100,000","137,300,000","65,100,000","21,600,000","18,200,000","13,000,000"
		NetPPE,"5,042,000,000","5,168,000,000","4,559,000,000","3,711,000,000","3,081,000,000","2,975,000,000","3,216,000,000","2,306,000,000","2,534,000,000","2,487,000,000","2,995,000,000","2,851,000,000","2,414,000,000","2,373,000,000","2,387,000,000","2,162,000,000","1,788,000,000","1,482,000,000","1,022,000,000","675,000,000","622,000,000","686,000,000","431,396,000","431,705,000","556,000,000","609,700,000","425,090,000","352,700,000","185,500,000","113,700,000","62,300,000","20,300,000","16,700,000","10,800,000"
